created:2025-02-06 13:23:08 UTC
ephemeris_start:2025-02-06 12:42:42 UTC ephemeris_stop:2025-02-09 12:42:42 UTC step_size:60
ephemeris_source:blend
UVW
2025037124242.000 -4758.0497779909 -4936.0765330019 -994.0424320043 3.9061074897 -2.5715605435 -5.9748622426
5.3522220709e-07 -3.8825709924e-07 7.8158527599e-07 2.2336974625e-10 6.9053745473e-12 1.2610662435e-06 9.2027999349e-10
-9.0240724757e-10 -1.0076212082e-14 2.0893427043e-12 -4.6967906789e-10 4.1143295459e-10 1.5909964435e-13 -8.2457884381e-13
5.0173763955e-13 8.4294848833e-13 -3.2383578881e-13 1.6978122482e-09 6.2292794095e-16 -2.2613689018e-16 5.4239500306e-12
2025037124342.000 -4513.5760370656 -5079.5986718921 -1350.1227154216 4.2400646802 -2.2108053694 -5.8901948463
5.9702056527e-07 -4.5896172630e-07 8.9052585677e-07 2.7837584890e-10 -3.2969219813e-12 1.4783044336e-06 1.0374939307e-09
-1.0511152122e-09 -2.0247030729e-14 2.3291542862e-12 -5.2674439592e-10 4.7952231354e-10 3.0749736286e-13 -9.3610564591e-13
5.5297176575e-13 7.5160328115e-13 -2.4010947763e-13 1.9178769433e-09 4.1752709633e-16 8.4355233594e-17 5.1920009696e-12
2025037124442.000 -4249.6102373308 -5201.1844468598 -1700.3562173661 4.5556124833 -1.8406142346 -5.7800502548
6.6356986093e-07 -5.3924358236e-07 1.0180761699e-06 3.2938756301e-10 6.3463844222e-12 1.7201019389e-06 1.1645467902e-09
-1.2208777660e-09 -7.5460744753e-14 2.5887061201e-12 -5.8857835621e-10 5.5663682562e-10 5.0848168589e-13 -1.0574845661e-12
6.0897197262e-13 6.2488120469e-13 -8.9119187617e-14 2.1065854621e-09 1.1131363201e-16 4.5072160419e-16 4.9306349181e-12
2025037124542.000 -3967.2979599638 -5300.3158804754 -2043.2289268949 4.8513939050 -1.4625990340 -5.6449234483
7.3476011052e-07 -6.2971536113e-07 1.1666553244e-06 3.7330706555e-10 4.4740555459e-11 1.9824993931e-06 1.3015662235e-09
-1.4137329302e-09 -1.8900991510e-13 2.8694917184e-12 -6.5509996993e-10 6.4339986785e-10 7.6678865757e-13 -1.1888372529e-12
6.6970287304e-13 4.5959124123e-13 1.3816034605e-13 2.2607007145e-09 -3.0292744402e-16 8.6516637649e-16 4.6446304620e-12
2025037124642.000 -3667.8637324055 -5376.5727020155 -2377.2593940988 5.1261404346 -1.0784032735 -5.4854183802
8.1042021462e-07 -7.3093978701e-07 1.3388280480e-06 4.0732499429e-10 1.2196132509e-10 2.2611799004e-06 1.4486325939e-09
-1.6317757990e-09 -3.7612179886e-13 3.1730327321e-12 -7.2616144231e-10 7.4037061819e-10 1.0861617320e-12 -1.3302128030e-12
7.3504506766e-13 2.5159303184e-13 4.5023633845e-13 2.3775824691e-09 -8.3149553748e-16 1.3188620965e-15 4.3391913263e-12
2025037124742.000 -3352.6053649102 -5429.6339966072 -2701.0056832239 5.3786775678 -0.6896943181 -5.3022443206
8.9031503949e-07 -8.4340863749e-07 1.5372917459e-06 4.2816500554e-10 2.4839696022e-10 2.5515491671e-06 1.6057585171e-09
-1.8771441152e-09 -6.5170492284e-13 3.5008547908e-12 -8.0154800121e-10 8.4804068393e-10 1.4681231313e-12 -1.4815970971e-12
8.0481176203e-13 -2.4006718232e-15 8.5394822868e-13 2.4552369554e-09 -1.4768693796e-15 1.8022333096e-15 4.0198485167e-12
2025037124842.000 -3022.8881989291 -5459.2794297614 -3013.0714901283 5.6079295829 -0.2981562089 -5.0962124750
9.7414790202e-07 -9.6753011350e-07 1.7648567375e-06 4.3232131602e-10 4.3448695168e-10 2.8488140993e-06 1.7728849798e-09
-2.1520045065e-09 -1.0299703881e-12 3.8544815921e-12 -8.8098035440e-10 9.6681754758e-10 1.9121563051e-12 -1.6429034899e-12
8.7874817152e-13 -3.0489146325e-13 1.3544690065e-12 2.4923492145e-09 -2.2380420273e-15 2.3053073971e-15 3.6923647657e-12
2025037124942.000 -2680.1390425116 -5465.3900131172 -3312.1121477293 5.8129240020 0.0945182131 -4.8682321737
1.0615634271e-06 -1.1036157441e-06 2.0244235359e-06 4.1610993063e-10 6.9030943246e-10 3.1480656653e-06 1.9498755919e-09
-2.4585367039e-09 -1.5238735386e-12 4.2354253234e-12 -9.6411787980e-10 1.0970110550e-09 2.4156641951e-12 -1.8139670973e-12
9.5653504159e-13 -6.5742324657e-13 1.9550828897e-12 2.4883045145e-09 -3.1105458323e-15 2.8178892971e-15 3.3626341922e-12
2025037125042.000 -2325.8398512550 -5447.9483968217 -3596.8403769970 5.9927956597 0.4866351638 -4.6193061385
1.1521513895e-06 -1.2518683265e-06 2.3189569421e-06 3.7576369591e-10 1.0252200047e-09 3.4443635991e-06 2.1365116179e-09
-2.7989163567e-09 -2.1445306228e-12 4.6451765907e-12 -1.0505628087e-09 1.2388210160e-09 2.9740838612e-12 -1.9945398459e-12
1.0377931878e-12 -1.0603945710e-12 2.6570825570e-12 2.4431975664e-09 -4.0865269962e-15 3.3299048933e-15 3.0365801786e-12
2025037125142.000 -1961.5211991031 -5407.0386918979 -3866.0317260354 6.1467894745 0.8765075605 -4.3505249758
1.2454514930e-06 -1.4123711385e-06 2.6514572462e-06 3.0753403608e-10 1.4475118217e-09 3.7328214716e-06 2.3324879034e-09
-3.1752966286e-09 -2.9007137217e-12 5.0851939543e-12 -1.1398653216e-09 1.3923261149e-09 3.5810616949e-12 -2.1842863497e-12
1.1220889405e-12 -1.5128990102e-12 3.4596935277e-12 2.3578294536e-09 -5.1549288368e-15 3.8316785444e-15 2.7200532666e-12
2025037125242.000 -1588.7556068392 -5342.8458685901 -4118.5296859587 6.2742627154 1.2624616228 -4.0630619955
1.3409590307e-06 -1.5850786491e-06 3.0249288760e-06 2.0784114157e-10 1.9641441343e-09 4.0086906624e-06 2.5374098084e-09
-3.5897887750e-09 -3.7983432732e-12 5.5568931751e-12 -1.2315294619e-09 1.5574743008e-09 4.2287136748e-12 -2.3827806701e-12
1.2089403634e-12 -2.0125647553e-12 4.3600539093e-12 2.2336924092e-09 -6.3017043415e-15 4.3142008941e-15 2.4187308477e-12
2025037125342.000 -1209.1507324942 -5255.6547477986 -4353.2504922193 6.3746870323 1.6428439810 -3.7581677648
1.4381313332e-06 -1.7698089189e-06 3.4423468949e-06 7.3395831940e-11 2.5804773131e-09 4.2674417919e-06 2.7507912082e-09
-4.0444419230e-09 -4.8401644654e-12 6.0616362359e-12 -1.3250197722e-09 1.7340748245e-09 4.9078830693e-12 -2.5895040217e-12
1.2978241415e-12 -2.5554656840e-12 5.3531698148e-12 2.0729427877e-09 -7.5101703015e-15 4.7692650677e-15 2.1380203615e-12
2025037125442.000 -824.3424884763 -5145.8485815050 -4569.1876066516 6.4476492555 2.0160278119 -3.4371652398
1.5363949219e-06 -1.9662378730e-06 3.9066217734e-06 -9.8796091192e-11 3.3000319725e-09 4.5048422285e-06 2.9720536463e-09
